,precision,recall,f1-score,support
non-offensive,0.7182985553772071,0.7991071428571429,0.7565511411665258,1120.0
offensive,0.8232521602513747,0.7491065046461758,0.7844311377245508,1399.0
accuracy,0.7713378324732036,0.7713378324732036,0.7713378324732036,0.7713378324732036
macro avg,0.7707753578142909,0.7741068237516593,0.7704911394455383,2519.0
weighted avg,0.7765875959563895,0.7713378324732036,0.7720351090842221,2519.0
