,precision,recall,f1-score,support
non-offensive,0.0,0.0,0.0,1120.0
offensive,0.555379118697896,1.0,0.7141398672792241,1399.0
accuracy,0.555379118697896,0.555379118697896,0.555379118697896,0.555379118697896
macro avg,0.277689559348948,0.5,0.35706993363961204,2519.0
weighted avg,0.3084459654856517,0.555379118697896,0.39661837011656786,2519.0
