,precision,recall,f1-score,support
non-offensive,0.7788944723618091,0.8303571428571429,0.8038029386343994,1120.0
offensive,0.8566037735849057,0.8112937812723374,0.8333333333333334,1399.0
accuracy,0.8197697499007542,0.8197697499007542,0.8197697499007542,0.8197697499007542
macro avg,0.8177491229733573,0.8208254620647402,0.8185681359838664,2519.0
weighted avg,0.822052595589722,0.8197697499007542,0.8202035032170943,2519.0
