,precision,recall,f1-score,support
non-offensive,0.7746938775510204,0.8473214285714286,0.8093816631130064,1120.0
offensive,0.8678516228748068,0.8027162258756254,0.8340141106572594,1399.0
accuracy,0.8225486304088924,0.8225486304088924,0.8225486304088924,0.8225486304088924
macro avg,0.8212727502129136,0.825018827223527,0.8216978868851329,2519.0
weighted avg,0.8264317440488278,0.8225486304088924,0.8230620101215058,2519.0
