,precision,recall,f1-score,support
non-offensive,0.8170854271356784,0.7258928571428571,0.7687943262411349,1120.0
offensive,0.7985564304461942,0.8699070764832023,0.8327061238453644,1399.0
accuracy,0.8058753473600635,0.8058753473600635,0.8058753473600635,0.8058753473600635
macro avg,0.8078209287909364,0.7978999668130298,0.8007502250432497,2519.0
weighted avg,0.8067948092839164,0.8058753473600635,0.8042896040689702,2519.0
