,precision,recall,f1-score,support
non-offensive,0.6919155134741443,0.8482142857142857,0.762133975130365,1120.0
offensive,0.8516579406631762,0.6976411722659042,0.7669941060903733,1399.0
accuracy,0.7645891226677253,0.7645891226677253,0.7645891226677253,0.7645891226677253
macro avg,0.7717867270686602,0.7729277289900949,0.7645640406103691,2519.0
weighted avg,0.7806331219050516,0.7645891226677253,0.7648331903796908,2519.0
