,precision,recall,f1-score,support
non-offensive,0.726729291204099,0.7598214285714285,0.7429070274989088,1120.0
offensive,0.8004451038575667,0.771265189421015,0.7855842737531852,1399.0
accuracy,0.7661770543866614,0.7661770543866614,0.7661770543866614,0.7661770543866614
macro avg,0.7635871975308328,0.7655433089962218,0.764245650626047,2519.0
weighted avg,0.7676695142696811,0.7661770543866614,0.766609078912062,2519.0
