,precision,recall,f1-score,support
non-offensive,0.6962794229309036,0.81875,0.7525646286417726,1120.0
offensive,0.8311148086522463,0.7140814867762688,0.7681660899653979,1399.0
accuracy,0.760619293370385,0.760619293370385,0.760619293370385,0.760619293370385
macro avg,0.763697115791575,0.7664157433881345,0.7603653593035853,2519.0
weighted avg,0.7711641806221138,0.760619293370385,0.761229354482087,2519.0
