,precision,recall,f1-score,support
non-offensive,0.7552742616033755,0.7991071428571429,0.7765726681127982,1120.0
offensive,0.8313343328335832,0.7927090779127949,0.8115623856567874,1399.0
accuracy,0.795553791186979,0.795553791186979,0.795553791186979,0.795553791186979
macro avg,0.7933042972184794,0.7959081103849689,0.7940675268847928,2519.0
weighted avg,0.7975164369313075,0.795553791186979,0.7960052266058673,2519.0
